# [trialNum], AvgAccelMag - Grav [g], AccelMag Var, AvgCurrent[mA], Speed[m/s], V, ~SpecificR, CurrentSamp, AccelSamp

# T = 0.90        # Trajectory period
# DT = 150    # IPM time step (ms)
# FPS = 50        # PyGame refresh rate
# PLOT_ANALYSIS = True

# GROUND_ANGLE = 95. # Ground contact angle
# BACK_GROUND_ANGLE = 100.

# DUTY_CYCLE = 0.65

# PHASE_OFFSET = -GROUND_ANGLE/2
# TIME_OFFSET = T * (DUTY_CYCLE / 2)

# STAND_ANGLE = 145.
# MOUNTED_STAND_ANGLE = 20.
# BACK_OFFSET_ANGLE = 0.

# BUFFER_MAX_LIMIT = 10


# TEST ENVIRONMENT: 40FT LINOLEUM

# SPINE: FULLY FLEXIBLE, Vehichle tightened at [4]
[1], 0.023774, 0.061707,  2442, 0.47, 23.50, 121921.3,   186,   456 
[2], 0.042408, 0.068084,  2470, 0.47, 23.50, 122834.2,   182,   440 
[3], 0.029400, 0.052738,  2595, 0.47, 23.30, 127971.1,   181,   442 
[4], 0.038841, 0.068175,  2562, 0.47, 23.20, 126280.1,   182,   462 
[5], 0.050125, 0.064670,  2463, 0.47, 23.10, 120861.9,   179,   446 
[6], 0.023251, 0.066152,  2344, 0.47, 23.08, 115349.0,   190,   456 
[7], 0.007815, 0.064298,  2455, 0.47, 23.05, 121145.8,   182,   453 
[8], 0.033035, 0.078428,  2561, 0.47, 23.03, 125314.2,   186,   461 
[9], 0.047672, 0.065572,  2470, 0.47, 23.00, 121140.9,   184,   447 
[10], 0.010782, 0.063892,  2512, 0.47, 22.99, 122191.8,   186,   455 

# SPINE: FULLY RIGID

[1], 0.009284, 0.028590,  3041, 0.47, 22.85, 148204.4,   178,   446 
[2], 0.042260, 0.029519,  3049, 0.47, 22.80, 147111.0,   178,   454 
[3], 0.012777, 0.029066,  3282, 0.48, 22.77, 156910.2,   180,   466 
[4], 0.022562, 0.028867,  3093, 0.47, 22.74, 148258.4,   181,   471 
[5], 0.033506, 0.036870,  3002, 0.47, 22.73, 143836.8,   179,   458 
[6], 0.040002, 0.036212,  3012, 0.47, 22.71, 144761.5,   179,   460 
[7], 0.018895, 0.029579,  3047, 0.47, 22.67, 146759.1,   180,   461 
[8], 0.018060, 0.026547,  3041, 0.47, 22.61, 145506.0,   178,   466 
[9], 0.032770, 0.032716,  3125, 0.47, 22.58, 148735.0,   177,   465 
[10], 0.030872, 0.028846,  3248, 0.47, 22.56, 154456.6,   180,   459 

# SPINE: HALF FLEX
[1], 0.030030, 0.041429,  2571, 0.48, 24.78, 132724.7,   179,   445 
